user_id,location,language,account_created,follower_count
user_kbdvf8d6,"Tokyo, Japan",es,2023-01-14,4645
user_pr7bcf45,"Chicago, USA",fr,2023-08-05,30128
user_dotzarnx,"Munich, Germany",de,2023-11-09,8257
user_wr37s6cm,"Los Angeles, USA",ja,02/05/2023,40667
user_x2l3g4q0,"Los Angeles, USA",ja,2023-06-20,46088
user_k323dctm,"Barcelona, Spain",ar,24/07/2023,13404
user_rzirln2k,"Sydney, Australia",ru,2023-03-30,47343
user_hdwsy3nf,"Vancouver, Canada",fr,2023-03-28,10597
user_ywvdig0e,"Barcelona, Spain", zh ,2023-06-19,3061
user_bgppnqks,"Tokyo, Japan",en,12-07-2023,15171
user_g62nc9bm,"OSAKA, JAPAN",,05-18-2023,29261
user_7ynl9cyw,"London, UK",,07-Apr-2023,24437
user_wcqtxwgr,"LOS ANGELES, USA",en,06-25-2023,10281
user_668nidxi,"São Paulo, Brazil",pt,07-24-2023,17277
user_2pjp6tpj,"São Paulo, Brazil",de,2023-03-30,44592
user_n020jpbl,"Rome, Italy",en,08/09/2023,14263
user_evp5iscs,"Shanghai, China",es,2023-11-27,20700
user_ixw57ddo,"Chicago, USA",de,2023-08-14,49484
user_cwgik1z6,"Chicago, USA",ja,2023-11-22,36868
user_hdl625jh,"Vancouver, Canada",PT,2023-03-10,33417
user_g634p4h2,"Cairo, Egypt",ru,2023-04-15,25978
user_aedwfomw,"São Paulo, Brazil",ar,2023-04-28,11678
user_x9480750,"Cairo, Egypt",ru,2023-11-26,27437
user_nz4b01j0,"Munich, Germany",ru,2023-07-07,19419
user_7qv6le3v,"Barcelona, Spain",hi,2023-12-21,48814
user_ctdjnqvi,"Dubai, UAE",hii,2023-02-16,34193
user_bq4d19qm,"Shanghai, China",hi,03-04-2023,10193
user_aoke8xi4,"Chicago, USA",de,2023-09-09,34362
user_5t7flftu,"Beijing, China",ru,2023-09-06,24133
user_as209gf7,"Rio de Janeiro, Brazil",ja,08-27-2023,46583
user_qdztdeac,"MELBOURNE, AUSTRALIA",zh,2023-08-27,14266
user_y0232w01,"Johannesburg, South Africa",fr,2023-04-01,
user_xg8l4fvi,"Rio de Janeiro, Brazil",HI,2023-06-13,18949
user_r7o639pp,"Johannesburg, South Africa",pt,2023-06-04,36970
user_jxoe2fqh,"Shanghai, China",de,2023-06-17,3525
user_tndo3hfx,"Berlin, Germany",de,2023-05-31,43803
user_qpyuqb17,"Madrid, Spain",es,2023-02-15,3564
user_wjb4dk42,"Sydney, Australia",de,2023-05-24,35720
user_mxyu76aq,"Lyon, France",es,2023-03-28,48750
user_xgtlx302,"Lagos, Nigeria", ru ,20-Jul-2023,42854
user_l20ptiu5,"Melbourne, Australia",es,2023-11-19,31276
user_e33tyryb,"Berlin, Germany", hi ,2023-02-16,40671
user_siav2csw,"Tokyo, Japan",zh,2023-06-16,36855
user_1ol09hyk,"SYDNEY, AUSTRALIA",ru,2023-10-11,42907
user_6kjv32kv,"Los Angeles, USA",de,2023-01-30,15858
user_n59vpv83,"New York, USA",hi,21-Oct-2023,32421
user_7apw5kiv,"Melbourne, Australia",ru,16/01/2023,17878
user_a3lly7yh,"Sydney, Australia",ar,2023-09-11,41868
user_8rtb88jl,"Mexico City, Mexico",ru,07-23-2023,15053
user_sp9dve47,"Chicago, USA",es,2023-08-06,5574
user_vebae5wn,"Melbourne, Australia",JA,2023-11-08,26919
user_7jzfhdtm,"Delhi, India",zh,22/09/2023,44500
user_i1cf6it0,"Los Angeles, USA",ru,08-28-2023,15096
user_emlc2ijs,"Mumbai, India",zh,15/07/2023,42097
user_1txxsoau,"Dubai, UAE",ru,2023-05-01,17465
user_8css3app,"CHICAGO, USA",en,2023-01-27,24506
user_nq5irbxf,"Houston, USA",zh,2023-04-20,17046
user_nha6qskx,"Osaka, Japan",de,07/11/2023,38177
user_44damk88,Singapore,zh,09-14-2023,16377
user_813rh2sb,"mexico city, mexico",de,04-18-2023,16274
user_rr1uzkql,,de,31/10/2023,1069
user_rfx3nz4u,"LONDON, UK",de,2023-01-23,20354
user_7t2gp59a,"Berlin, Germany",zh,2023-11-05,37446
user_ysu054dr,Singapore,de,04-16-2023,13639
user_i16blt5c,"Lagos, Nigeria",fr,12/01/2023,15494
user_jrqo44md,"Munich, Germany",en,2023-10-01,3826
user_34h6otv1,"Mumbai, India",hi,01-Sep-2023,825
user_vulstdsx,"Los Angeles, USA",hi,2023-03-23,17640
user_nj30zbtv,"Mumbai, India",de,01-17-2023,18202
user_c66o14p3,"Osaka, Japan",ja,2023-01-04,24996
user_gp93zm40,,ES,2023-10-23,9875
user_uozn4bg0,"London, UK",de,18/10/2023,41161
user_1in5bvdf,Singapore,ar,2023-09-16,7749
user_jp89dfll,"Osaka, Japan",zh,2023-06-23,47314
user_gsa59ewq,"Houston, USA",de,20-Dec-2023,2194
user_dtqoi70v,"New York, USA",en,21-Mar-2023,43807
user_750rlmnw,"Mumbai, India",pt,03/09/2023,20546
user_z0feut2e,"Milan, Italy",hi,2023-06-04,30461
user_zjpba9my,"CHICAGO, USA",es,2023-07-23,37507
user_b7x51z27,"Manchester, UK",hi,07/03/2023,16267
user_k3wqnnz3,"Lagos, Nigeria",ja,29/05/2023,41608
user_hen7rrkk,"Munich, Germany",hi,2023-04-17,1688
user_kz59girv,"Dubai, UAE",pt,2023-08-19,48794
user_si0cvlcp,"Los Angeles, USA",ar,07-17-2023,8005
user_gi4jvjqd,"Tokyo, Japan",hi,03-05-2023,41198
user_adh72fga,"beijing, china",,2023-06-19,11085
user_burti9os,"Rome, Italy",pt,2023-10-30,19117
user_g610crca,"São Paulo, Brazil",ar,2023-11-04,41246
user_g5a3zs71,"Lyon, France",fr,12-06-2023,26819
user_viynjlsr,"Mumbai, India",hi,2023-06-27,46004
user_hq06wwgk,"Munich, Germany",pt,2023-06-16,43992
user_v82mrman,"Mexico City, Mexico",de,30-Jan-2023,247250.0
user_4zp9ao9r,"Berlin, Germany",de,2023-05-25,
user_pvhgwztj,"Munich, Germany",hi,2023-10-28,39975
user_4glw6rrj,"Mexico City, Mexico",ar,11-17-2023,6004
user_1ol09hyk,"Sydney, Australia",ru,2023-10-11,N/A
user_a2a9oe87,Singapore,ru,10-16-2023,27688
user_suc2uijv,"Berlin, Germany",pt,09/11/2023,22923
user_5udnicb6,"Beijing, China",pt,25/01/2023,21862
user_49claaw8,"Milan, Italy",de,2023-10-22,36636
user_3jxx3h3w,"London, UK",ru,2023-10-28,35570
user_lq2eprhn,"Johannesburg, South Africa",de,21/04/2023,2434
user_uc87frzx,"Rio de Janeiro, Brazil",hi,07-29-2023,45923
user_v4objqex,"Madrid, Spain",hi,2023-11-15,16772
user_bvyufsqe,"Rio de Janeiro, Brazil",en,2023-04-28,5032
user_jodbszof,"Mumbai, India",zh,2023-05-30,31286
user_uw0vd87k,"Milan, Italy",,2023-10-16,11640
user_ogtvuuki,,es,2023-12-13,4459
user_pwkizrc1,Singapore,hi,2023-04-15,12613
user_kq59zq55,"Delhi, India",zh,2023-01-07,7868
user_o94skjzg,"Sydney, Australia", es ,2023-07-15,37281
user_zyptgxi8,"Shanghai, China",ar,2023-02-17,47455
user_vl9qiy9k,"Rome, Italy",pt,2023-06-11,35120
user_vdr1clyk,"Berlin, Germany",ru,2023-09-05,427460.0
user_lpaf67a1,"Los Angeles, USA",de,2023-07-18,47406
user_cw087eow,"Chicago, USA",zh,2023-10-11,31159
user_vknr0v08,"Rome, Italy",fr,2023-06-16,15568
user_e68x1vfa,"New York, USA",hi,18/05/2023,14402
user_z2r9v1ms,"  Los Angeles, USA  ",es,16/06/2023,1897
user_zq5mipiu,"New York, USA",ja,2023-11-11,38518
user_a3njsw7g,"Los Angeles, USA",zh,2023-12-03,4222
user_yrth0u5v,"Milan, Italy",hi,21/08/2023,6499
user_xgtlx302,"Lagos, Nigeria",ru,2023-07-20,42854
user_1qiu13dr,"Milan, Italy",fr,05-14-2023,32906
user_hm5gz5e1,"Vancouver, Canada",fr,2023-10-15,33552
user_5g45dehl,"rio de janeiro, brazil",ar,2023-01-14,26719
user_urkhf34q,"Manchester, UK",ar,2023-02-18,24177
user_0q1hamqb,"Sydney, Australia",ru,2023-06-03,14670
user_t4qd1q5j,"London, UK",ja,2023-06-01,18639
user_sjm4thcl,"  Dubai, UAE  ",en,06/04/2023,49721
user_5gxidbb7,"Houston, USA",pt,2023-12-14,37766
user_sxyhv9rg,"Madrid, Spain",hi,2023-09-30,23637
user_gg2lzb94,"Cairo, Egypt",,01-09-2023,21301
user_g612w4ko,"Munich, Germany",de,19-Feb-2023,13591
user_oypkjogs,"Dubai, UAE",es,31/10/2023,47001
user_nyopcp6t,"Milan, Italy",ru,2023-05-29,15140
user_vgdizrp5,"Rio de Janeiro, Brazil",ja,01-14-2023,37196
user_azj09nr4,"London, UK",es,2023-05-02,40700
user_iie5vu9r,"Los Angeles, USA",fr,19/12/2023,46501
user_5lmyv131,"  Toronto, Canada  ",de,29/10/2023,10443
user_xe1x9bhy,Singapore,ru,02-26-2023,36140
user_i8ncp2ai,"Delhi, India",fr,2023-02-12,49722
user_282w0ezf,"Munich, Germany",fr,18-Oct-2023,34203
user_tmjtxubu,"Seoul, South Korea", ja ,2023-05-07,48104
user_f3crksgl,"Los Angeles, USA",ar,2023-09-13,37091
user_maxv53zu,"Melbourne, Australia",zh,06-08-2023,40782
user_tzqt5z2m,"New York, USA",es,2023-10-06,32131
user_ercb72ke,"Cairo, Egypt",ar,04-09-2023,29120
user_udakufz1,"Houston, USA",pt,04/03/2023,30349
user_zzq2044c,"Delhi, India",ar,2023-02-09,34915
user_ec3q4urm,"  Cairo, Egypt  ",zh,02-14-2023,26940
user_jnbq8wan,"Cairo, Egypt",ja,2023-03-08,26014
user_5wmdl0y4,"Dubai, UAE",hi,07-11-2023,49404
user_01hav2yk,"Barcelona, Spain",es,2023-11-20,14971
user_weam2ohn,"Lyon, France",en,04-14-2023,12261
user_kacnf91b,"São Paulo, Brazil",hi,2023-06-13,38771
user_ouqw1ta1,"Tokyo, Japan",es,2023-11-21,38452
user_6fijt4ks,"Lyon, France",hi,2023-02-28,44023
user_1dor4ub9,"Melbourne, Australia",,20-May-2023,3948
user_tyvzn6ay,"London, UK",frr,05/09/2023,46141
user_57r6dkm6,"Vancouver, Canada",hi,19/01/2023,6699
user_ml9aeuua,"Beijing, China",ja,2023-02-02,37131
user_pfk3usin,"Mumbai, India",es,10-24-2023,12664
user_jlw733x7,"Shanghai, China",ar,2023-08-10,
user_a0bf0ref,"Madrid, Spain",pt,2023-11-25,29706
user_15fd58cq,"Lyon, France",de,2023-08-14,16272
user_ovph1ui0,"New York, USA",de,11/11/2023,41310
user_24wzfb8b,"Barcelona, Spain",zh,02-27-2023,-38633.0
user_0fraxbyo,"Melbourne, Australia",es,11-30-2023,15607
user_42iz424k,"Rio de Janeiro, Brazil",hi,30/08/2023,15154
user_pt5esn7d,"Dubai, UAE",zh,05-30-2023,19081
user_bnswpe65,"Sydney, Australia",hi,17/08/2023,20002
user_btviyu88,"Barcelona, Spain",hi,15/05/2023,N/A
user_34p96r93,"Tokyo, Japan",ru,03-22-2023,40540
user_7walmm9o,"Toronto, Canada",ar,2023-07-25,40824
user_77m315jj,"Munich, Germany",en,2023-01-06,30293
user_gqley07k,"São Paulo, Brazil",hi,2023-12-04,23356
user_l20ptiu5,"Melbourne, Australia",es,19/11/2023,31276
user_v0ylmnbx,"Johannesburg, South Africa",dee,17-Jun-2023,48811
user_47o2zlmp,"Tokyo, Japan",pt,2023-10-22,9632
user_wq8mex2l,"Madrid, Spain",ru,2023-01-31,5897
user_axfqrey3,"Rome, Italy",pt,11-20-2023,43157
user_sr1ug159,,en,02/10/2023,26249
user_c2tfuv1t,"Houston, USA",ru,18-Jan-2023,339
user_sc6w53me,"Mexico City, Mexico",de,2023-02-04,11958
user_oarrz3h1,"Los Angeles, USA", de ,07/09/2023,36319
user_73jr6imn,"Berlin, Germany",ru,13-Aug-2023,7267
user_ep00xpmt,"Barcelona, Spain",hi,07/11/2023,7893
user_21t39k1j,"Paris, France",en,2023-11-13,41573
user_119tublg,"Berlin, Germany",ZH,2023-11-02,26429
user_3rnkw0w0,"London, UK",en,30-Aug-2023,16930
user_8o6sps0v,"Chicago, USA",ja,2023-02-27,11740
user_w9frojsj,"Mexico City, Mexico",de,2023-08-31,15881
user_nqnv2wim,"Melbourne, Australia",ar,2023-02-10,1873
user_w9qotuff,"shanghai, china",ja,2023-05-18,11203
user_lv0eohsw,Singapore,de,2023-04-07,25133
user_otg53r69,,ar,10-04-2023,31825
user_wy6vq77l,"Tokyo, Japan",pt,02-12-2023,39627
user_168r2uhp,"Los Angeles, USA",ja,2023-02-07,11610
user_drbocr22,"Rio de Janeiro, Brazil",pt,11/08/2023,338280.0
user_1ug2c6v8,"Mumbai, India",hi,12/12/2023,30337
user_mc4gyg3z,"Madrid, Spain",pt,2023-12-23,34238
user_t0w6rkg0,"Melbourne, Australia",ja,2023-06-24,36025
user_nf5l9rnd,"Johannesburg, South Africa",ru,2023-11-10,34045
user_w7032rkh,"Dubai, UAE",zh,2023-11-26,16258
user_ze3qol7q,"Mumbai, India",de,18-Feb-2023,16102
user_nfgm6ygg,"London, UK",hi,23-Nov-2023,44364
user_63zia51r,"Shanghai, China",hi,2023-07-02,15126
user_31qdm3s9,"Rio de Janeiro, Brazil", pt ,2023-12-06,336350.0
user_ysbkmmxf,"Toronto, Canada",ja,31/03/2023,46203
user_60ypl1q4,"Los Angeles, USA",hi,12-May-2023,44700
user_59i5fn0m,"Delhi, India",en,2023-12-10,37251
user_cyqqg8x5,,zh,2023-12-04,44679
user_73jr6imn,"Berlin, Germany",ru,2023-08-13,7267
user_eocjg4nr,"Johannesburg, South Africa",es,2023-08-13,7268
user_pg17nta6,"Los Angeles, USA", de ,2023-07-12,2363
user_kiebkz7i,"Sydney, Australia",hi,2023-06-28,34969
user_fqfldx38,"Melbourne, Australia",ru,2023-01-26,25120
user_15i5qfz3,"Osaka, Japan",ja,2023-04-01,6975
user_yz6mibaj,"Dubai, UAE",ar,17-Apr-2023,10415
user_brtwxcm4,"Seoul, South Korea",ar,2023-12-12,1802
user_4o1z3322,"Tokyo, Japan",ar,2023-08-22,48982
user_pk1ptdj4,"Dubai, UAE",ru,16/11/2023,48116
user_octykp3s,, zh ,2023-02-05,13203
user_z5l7dqzu,"Delhi, India",,2023-03-31,22128
user_ekw6pu9s,"Barcelona, Spain",de,2023-06-05,13820
user_wb4t2r58,"Chicago, USA",es,28/02/2023,8509
user_0snf4coc,"São Paulo, Brazil",de,07-27-2023,42927
user_xzpx4dgt,"Madrid, Spain",ar,2023-12-30,11850
user_7apw5kiv,,ru,01-16-2023,17878
user_5e327fyv,"Shanghai, China",en,27/03/2023,14216
user_vzy4krml,"Sydney, Australia",fr,2023-12-24,6272
user_x47ltmhc,"Sydney, Australia",es,2023-06-11,N/A
user_3yu3mkxs,"Tokyo, Japan",pt,19-Jul-2023,7564
user_g37hrbp3,"Cairo, Egypt",ja,10-29-2023,6699
user_3fjv1ho7,"Rio de Janeiro, Brazil",ru,2023-09-17,23418
user_5jgxm2om,"Mexico City, Mexico",en,12-27-2023,37353
user_r46af80k,"Berlin, Germany",pt,08/12/2023,25928
user_rbtp63n2,"Munich, Germany",en,2023-12-17,49119
user_t1ebprsv,"Shanghai, China",zh,10-12-2023,17682
user_m80j4x3i,"toronto, canada",pt,2023-12-18,17803
user_7jn7qu75,"Sydney, Australia",ja,14/07/2023,25306
user_tmvu514q,"New York, USA",es,28/02/2023,42732
user_63jwqml9,"Chicago, USA",en,09/06/2023,25724
user_tl3fefo0,"Tokyo, Japan",ar,02/12/2023,11653
user_pbn2tgep,"Paris, France",fr,03-01-2023,38343
user_vgfgyt5r,"Chicago, USA",hi,09-08-2023,-26413.0
user_ygorm9b4,"Sydney, Australia",de,2023-12-27,7165
user_wfoibt5f,"Melbourne, Australia",pt,2023-09-29,49332
user_6q691qyw,"Johannesburg, South Africa",de,22-Feb-2023,44759
user_m80j4x3i,"Toronto, Canada",pt,2023-12-18,17803
user_h8g2fyv0,"London, UK",es,2023-07-11,4209
user_mc45jax7,"Madrid, Spain",en,09/08/2023,32003
user_ishux5fb,Singapore,de,2023-05-18,27779
user_hjd27rwd,"  Barcelona, Spain  ",pt,09-27-2023,46289
user_tejbqww7,"Johannesburg, South Africa",en,2023-03-20,2818
user_ykcupti7,"Milan, Italy",en,2023-03-01,20735
user_a2t91ioa,"São Paulo, Brazil",ar,03-23-2023,5217
user_8js3zac5,"Barcelona, Spain",ru,2023-03-15,16218
user_ztrgkwrt,,es,27/08/2023,30306
user_5cvmwjfa,"Seoul, South Korea",ru,2023-04-06,38237
user_lafp17kc,"Shanghai, China",zh,2023-05-14,40151
user_nfgm6ygg,"london, uk",hi,23/11/2023,44364
user_4i8oqswh,"Mumbai, India",fr,05-09-2023,8760
user_bsrrv0ob,"  Lagos, Nigeria  ",en,07-08-2023,14576
user_wdpk36tw,"Shanghai, China",zh,22/05/2023,8351
user_eyivvxsv,"Chicago, USA",zh,2023-06-19,34931
user_y21tyr3n,Singapore,hi,2023-06-20,26602
user_716l1rz5,"Mexico City, Mexico",zh,09-06-2023,41236
user_xjkv8d43,"Houston, USA",hi,2023-07-12,13651
user_zftpt5jm,"Lagos, Nigeria",pt,2023-04-19,33930
user_ipbdrtzc,"São Paulo, Brazil",pt,2023-02-18,27349
user_il88ti8o,"los angeles, usa",en,2023-04-03,33527
user_u98jwp3f,"Chicago, USA",zh,2023-04-20,49936
user_1qpr9tga,"Dubai, UAE",pt,03-Jun-2023,31853
user_778m0v2w,"Toronto, Canada",hi,11-18-2023,36094
user_oknxkzax,"Manchester, UK",en,13/12/2023,34257
user_sniodvjg,"São Paulo, Brazil",es,16-Sep-2023,23961
user_wq8mex2l,"Madrid, Spain",ru,31/01/2023,5897
user_wwjfzbxm,"Paris, France",pt,2023-04-10,2328
user_vhsumg9c,"Dubai, UAE",ru,28/08/2023,32650
user_5dciucw4,Singapore,fr,2023-12-21,19889
user_bpeh6r2x,"Rome, Italy",ar,11-15-2023,39573
user_8w06w1qu,"Melbourne, Australia",es,2023-11-11,
user_3y9hmsqu,"Lagos, Nigeria",fr,28/05/2023,4352
user_h229sw58,"Delhi, India",es,2023-08-09,34951
user_xeefhrn8,"Manchester, UK",pt,07/02/2023,43744
user_89lof2wj,"Mumbai, India",fr,2023-09-26,12147
user_i6bgsjcr,"Barcelona, Spain",pt,14/01/2023,1654
user_z8vlb7d2,"Rome, Italy",hi,2023-09-21,418
user_c4qqdoi5,"Sydney, Australia",de,08-09-2023,44786
user_jxfroxq0,,ru,2023-11-24,36948
user_vddrbq40,"Mumbai, India",zh,2023-06-07,39243
user_orpq5vct,"Chicago, USA",pt,14/03/2023,27107
user_7m4u5drn,"Rio de Janeiro, Brazil",pt,02-20-2023,40653
user_4oo5d5h3,"São Paulo, Brazil",jaa,04-14-2023,13017
user_rm8c3wgs,"Milan, Italy",ar,19/05/2023,23940
user_g612w4ko,"Munich, Germany",de,2023-02-19,13591
user_bgppnqks,"Tokyo, Japan",en,2023-12-07,15171
user_mmusq9kc,"Osaka, Japan",zh,2023-08-14,29655
user_yhe9m0z0,"Beijing, China",ar,2023-06-30,1655
user_wggdllvb,"Barcelona, Spain",,2023-12-01,42749
user_n4b1bcqh,"Melbourne, Australia",de,31/10/2023,640
user_14r9qzdz,"madrid, spain",ar,07/04/2023,16489
user_uaxe52m7,"Vancouver, Canada",ru,18/06/2023,42324
user_u02jbwra,"london, uk",de,2023-01-24,8141
user_cbswmk3b,"Beijing, China", ru ,22-Feb-2023,
user_q4xj4dj6,,pt,03/02/2023,29536
user_yqdus3x1,"Seoul, South Korea",en,12-14-2023,39684
user_fdavvfs9,"Shanghai, China",hi,2023-10-14,28740
user_c4e9we1i,"Munich, Germany",zhh,2023-09-01,33992
user_sek60h67,"Vancouver, Canada",ru,2023-02-28,12772
user_bxxatzfk,"Paris, France",ru,02/01/2023,15151
user_1depqq3s,"Vancouver, Canada",fr,2023-09-19,22365
user_mmusq9kc,"Osaka, Japan",zh,14/08/2023,29655
user_tvrrizk4,"Lagos, Nigeria",es,13/12/2023,24598
user_wn6shb1b,"Melbourne, Australia",ar,17-Apr-2023,34188
user_os4zasf3,"Toronto, Canada",ru,2023-05-09,11237
user_gl6nmk6h,"Rome, Italy",de,09-22-2023,6996
user_rv5qhh6q,"Manchester, UK",pt,2023-03-23,5256
user_0e2how9t,"Melbourne, Australia",hi,03-Sep-2023,23563
user_v9k2zefm,"Shanghai, China",zh,04-30-2023,10505
user_dcrkgrb5,Singapore,ja,2023-03-10,27599
user_mwro4svc,"  New York, USA  ",ar,29/06/2023,18052
user_l0y6e71z,"Dubai, UAE",ja,11-15-2023,9788
user_mxyu76aq,"Lyon, France",es,2023-03-28,48750
user_74ri5vbc,"New York, USA",hii,09-23-2023,-24934.0
user_kjdhjed1,"Paris, France",en,2023-03-20,15413
user_gpq94odr,"London, UK",ar,02-02-2023,39793
user_zrm2zekc,"Rio de Janeiro, Brazil",pt,2023-05-29,6381
user_sktr0cyy,"Delhi, India",ja,04-06-2023,42180
user_aaiari8o,"Rome, Italy",ar,08-18-2023,16038
user_upih2le3,"Tokyo, Japan",,03-May-2023,1775
user_yimb5r96,"Lyon, France",en,2023-06-19,24755
user_kywmd97r,"Cairo, Egypt",ar,05-26-2023,47309
user_jti6edje,"Toronto, Canada",en,12-10-2023,31392
user_yx0kbvbm,"Houston, USA",fr,2023-12-13,33957
user_b2k6dv8u,"Osaka, Japan",ar,2023-06-13,27707
user_bf0xs7co,Singapore,RU,08-24-2023,39894
user_zh3km46r,"Melbourne, Australia",ru,2023-04-24,44219
user_9m6lzkx0,"  Paris, France  ",zh,01-Dec-2023,15072
user_ju8hqhh7,"São Paulo, Brazil",pt,2023-08-10,-11133.0
user_v90c7v7k,"Manchester, UK",EN,2023-02-08,38478
user_4aitv3ib,"Rio de Janeiro, Brazil",ja,25/06/2023,47961
user_5td0e1us,Singapore,en,2023-02-14,6747
user_y5k6wncp,"Osaka, Japan",ar,2023-04-08,5760
user_op7k2mli,"tokyo, japan",en,2023-01-13,24762
user_baflpt2a,"Shanghai, China",zh,2023-05-14,2528
user_l7r2bz9p,Singapore,hi,06-Sep-2023,44363
user_m5z8a3sg,"Berlin, Germany",ar,2023-04-01,34800
user_n2ondgx6,"Los Angeles, USA",zh,2023-07-03,44576
user_n3yjfvxy,"New York, USA",hi,2023-06-10,45548
user_nog4qbe8,"Shanghai, China",,04-01-2023,18710
user_vebae5wn,"Melbourne, Australia",ja,2023-11-08,26919
user_ieac3mj5,"Chicago, USA",de,2023-01-04,28812
user_fbi471s9,"Shanghai, China",fr,10-30-2023,2778
user_wr3q3r0o,"Berlin, Germany",zh,05-18-2023,17020
user_5v4ez5kc,"mexico city, mexico",fr,06/09/2023,7011
user_r3r59q7h,"Los Angeles, USA",ja,09-Jun-2023,32753
user_permtl48,"Cairo, Egypt",hi,2023-03-17,23881
user_8c2t4hs8,"Rome, Italy",es,2023-02-01,7988
user_96uhzseg,"London, UK",ar,2023-04-24,27186
user_0osqp2dw,"New York, USA", hi ,20/03/2023,6432
user_4h2i9jla,"Los Angeles, USA",pt,2023-12-10,37825
user_v4g3pbbm,"Chicago, USA",zh,10/08/2023,24691
user_x8d4tmgt,"Seoul, South Korea",hi,10-13-2023,3965
user_ff1fie1h,"Munich, Germany",ru,2023-01-15,34366
user_abawq3v4,"Barcelona, Spain",fr,16/11/2023,27400
user_uyyao98x,"Chicago, USA",hi,2023-01-11,11625
user_w66b5uk0,"Manchester, UK",hi,02-Sep-2023,17208
user_xiajv4r3,"São Paulo, Brazil", ja ,2023-09-30,N/A
user_5n6jz0q7,Singapore,es,2023-10-19,21262
user_rj984hbd,"LOS ANGELES, USA",pt,20/11/2023,
user_ypmvx9m4,"Manchester, UK",es,19-Jan-2023,35088
user_6qudu5ws,"Berlin, Germany",,2023-03-18,N/A
user_lr3fagdl,"  Paris, France  ",en,13/10/2023,21509
user_0q1hamqb,"Sydney, Australia",ru,2023-06-03,14670
user_m27g42ms,"Beijing, China",hi,2023-01-28,27325
user_uer432k7,"Los Angeles, USA",,2023-10-28,2023
user_sumcbxzj,"Toronto, Canada",ja,01/05/2023,27073
user_7rdiojrn,"Mumbai, India",ja,17/12/2023,40870
